App,Rating,Size_Megabytes,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver,Genres_1,Genres_description
Rento - Dice Board Game Online,4.3,63.0,"10,000,000+",Free,0.0,Everyone,"June 20, 2018",4.4.9,4.1 and up,Board,No description
Survival Run with Bear Grylls,4.2,Not informed,"5,000,000+",Free,0.0,Everyone,"May 6, 2018",Varies with device,Varies with device,Action,No description
VIP Backgammon Free : Play Backgammon Online,4.1,Not informed,"10,000+",Free,0.0,Teen,"July 3, 2018",1.16.32,Varies with device,Board,No description
Battleheart Legacy,4.6,7.4,"50,000+",Paid,4.99,Teen,"November 10, 2014",1.2.5,4.1 and up,Role Playing,No description
Bi-Tank,4.6,18.0,50+,Free,0.0,Everyone,"July 31, 2017",Varies with device,4.1 and up,Arcade,No description
Bike Rivals,4.2,48.0,"10,000,000+",Free,0.0,Everyone,"July 15, 2015",1.5.2,2.3.3 and up,Racing,No description
Bingo Party - Free Bingo Games,4.7,92.0,"1,000,000+",Free,0.0,Teen,"July 13, 2018",2.1.1,4.0.3 and up,Board,No description
Little Big City 2,4.4,30.0,"10,000,000+",Free,0.0,Everyone,"March 20, 2018",9.2.4,4.0.3 and up,Casual,No description
BJ-UFO,3.6,25.0,"50,000+",Free,0.0,Everyone,"May 10, 2018",2.5_20,4.0 and up,Casual,No description
BJ Bridge Pro 2018,4.4,4.8,500+,Paid,4.49,Everyone,"May 21, 2018",6.2-pro,4.0 and up,Card,No description
BJ Bridge Free (2018),3.9,4.8,"10,000+",Free,0.0,Everyone,"May 21, 2018",6.2-lite,4.0 and up,Card,No description
BJ-FPV,4.2,26.0,"1,000+",Free,0.0,Everyone,"July 31, 2018",2.0.2,4.4 and up,Casual,No description
BJ Bridge Acol Beginner 2018,3.7,4.8,"5,000+",Free,0.0,Everyone,"May 21, 2018",6.2-begina,4.0 and up,Card,No description
BJ Bridge Standard American 2018,1.0,4.9,"1,000+",Free,0.0,Everyone,"May 21, 2018",6.2-sayc,4.0 and up,Card,No description
Eating Show - Food BJ,4.4,36.0,"10,000+",Free,0.0,Everyone,"October 30, 2017",1.29,4.1 and up,Simulation,No description
Real DJ Simulator,4.0,55.0,"10,000,000+",Free,0.0,Everyone,"April 20, 2018",1.7,4.1 and up,Simulation,No description
Make a burger king,3.8,17.0,"10,000+",Free,0.0,Everyone,"February 21, 2017",v1.3,4.0 and up,Casual,No description
King Burger Dash,3.6,12.0,"50,000+",Free,0.0,Everyone,"March 22, 2015",1.3,2.2 and up,Casual,No description
Red Embrace (BL/Yaoi Game),4.3,25.0,"10,000+",Free,0.0,Teen,"June 12, 2018",4.5.5,2.3.3 and up,Casual,No description
Blood Domination - BL Game,4.5,52.0,"10,000+",Free,0.0,Mature 17+,"July 6, 2018",1.0.1,4.1 and up,Adventure,No description
Yaoi Ooku: Distorted Love,4.0,6.3,"100,000+",Free,0.0,Mature 17+,"April 14, 2015",1.0.8,2.2 and up,Simulation,No description
Cerulean Heart,4.6,25.0,"10,000+",Free,0.0,Mature 17+,"June 15, 2018",1.3.1,4.0 and up,Simulation,No description
BL 女性向け恋愛ゲーム◆俺プリクロス,4.2,62.0,"100,000+",Free,0.0,Mature 17+,"March 23, 2017",1.6.3,2.3.3 and up,Simulation,No description
Heirs & Graces,4.3,70.0,"5,000+",Free,0.0,Teen,"July 1, 2016",1.0.1,2.3.3 and up,Adventure,No description
Gaydorado,3.9,47.0,"100,000+",Free,0.0,Teen,"August 1, 2018",0.0.42,4.0.3 and up,Role Playing,No description
Chess of Blades (BL/Yaoi Game) (No VA),4.8,23.0,10+,Paid,14.99,Teen,"January 24, 2018",1.03,2.3.3 and up,Casual,No description
SecondSecret ‐「恋を読む」BLノベルゲーム‐,4.4,40.0,"50,000+",Free,0.0,Teen,"June 29, 2017",1.3.6,4.0 and up,Adventure,No description
Lust in Terror Manor - The Truth Unveiled | Otome,4.1,53.0,"10,000+",Free,0.0,Teen,"July 10, 2018",1.0.6,4.1 and up,Adventure,No description
BL 女性向け恋愛ゲーム◆ごくメン,4.2,8.2,"100,000+",Free,0.0,Mature 17+,"July 7, 2016",1.3.0,2.3.3 and up,Simulation,No description
あなカレ【BL】無料ゲーム,4.7,8.5,"100,000+",Free,0.0,Mature 17+,"February 25, 2018",4.2.2,2.3 and up,Simulation,No description
Chess of Blades (Demo),4.2,23.0,"1,000+",Free,0.0,Teen,"January 25, 2018",1.5,2.3.3 and up,Casual,No description
OTOME of Ikemen cafe,4.5,24.0,"50,000+",Free,0.0,Teen,"March 5, 2018",1.0.21,4.1 and up,Simulation,No description
MEGA MAN MOBILE,4.0,40.0,"10,000+",Paid,1.99,Everyone,"February 17, 2017",1.02.01,4.0 and up,Action,No description
BL!TZ - Endless,4.7,9.0,100+,Free,0.0,Everyone,"June 30, 2017",10.05,4.0.3 and up,Arcade,No description
Teen Patti by BL Games,4.1,39.0,"100,000+",Free,0.0,Teen,"January 31, 2017",1.3.0,2.3.3 and up,Card,No description
Word Hunt,4.9,21.0,500+,Free,0.0,Everyone,"June 22, 2018",1.0,4.4 and up,Word,No description
New York Mysteries (Full),4.5,5.9,"5,000+",Paid,6.99,Teen,"June 4, 2018",1.0.36,4.0 and up,Adventure,No description
The Legacy (Full),4.6,6.3,"1,000+",Paid,6.99,Everyone,"May 15, 2018",1.0.9,4.0 and up,Adventure,No description
Skip-Bo™,4.4,60.0,"100,000+",Paid,2.99,Everyone,"August 3, 2018",3.4.6,4.1 and up,Card,No description
Skip-Bo™ Free,3.5,60.0,"1,000,000+",Free,0.0,Everyone,"August 3, 2018",3.4.6,4.1 and up,Card,No description
Bubble Bo-Bo,4.5,24.0,"10,000+",Free,0.0,Everyone,"July 5, 2018",6.0,4.0 and up,Casual,No description
Boom Beach,4.5,95.0,"50,000,000+",Free,0.0,Everyone 10+,"July 18, 2018",35.119,4.0.3 and up,Strategy,No description
Red Ball 4,4.4,59.0,"50,000,000+",Free,0.0,Everyone,"November 9, 2017",1.3.21,4.0.3 and up,Arcade,No description
Skater Boy,4.3,12.0,"100,000,000+",Free,0.0,Everyone,"September 20, 2017",1.18.35,4.1 and up,Arcade,No description
Casual Sic Bo (骰寶),4.0,2.2,500+,Free,0.0,Teen,"July 22, 2018",1.1.1,5.0 and up,Casual,No description
Hambo,4.4,17.0,"5,000,000+",Free,0.0,Everyone,"July 6, 2015",1.1.8,2.1 and up,Action,No description
Sic Bo Rave,3.9,33.0,"10,000+",Free,0.0,Teen,"September 23, 2013",1.0.1,2.3.3 and up,Card,No description
Bounce Classic,4.5,6.4,"10,000,000+",Free,0.0,Everyone,"July 5, 2018",1.0.8,4.0.3 and up,Arcade,No description
Habbo - Virtual World,3.8,28.0,"5,000,000+",Free,0.0,Teen,"May 30, 2018",2.22.0,4.2 and up,Role Playing,No description
Bomber Friends,4.5,49.0,"10,000,000+",Free,0.0,Everyone 10+,"July 26, 2018",2.23,4.0.3 and up,Action,No description
Power Spheres by BoBoiBoy,4.3,51.0,"5,000,000+",Free,0.0,Everyone,"May 3, 2018",1.3.20,4.0.3 and up,Puzzle,Brain Games
Township,4.6,Not informed,"50,000,000+",Free,0.0,Everyone,"July 19, 2018",5.9.0,4.0.3 and up,Casual,No description
Go-Go-Goat! Free Game,4.5,23.0,"1,000,000+",Free,0.0,Everyone,"July 8, 2016",2.4.4,2.3 and up,Arcade,Action & Adventure
BP-Tech,3.2,13.0,"1,000+",Free,0.0,Everyone,"February 3, 2018",1.3_4,4.0 and up,Casual,No description
Blood Pressure Diary,4.6,3.3,"5,000+",Free,0.0,Everyone,"August 1, 2018",1.1,4.0.3 and up,Simulation,No description
BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,4.7,7.2,"5,000+",Free,0.0,Everyone,"July 31, 2018",4.1.2,4.1 and up,Trivia,No description
Infinity Dungeon VIP,4.3,44.0,"1,000,000+",Paid,0.99,Everyone 10+,"July 3, 2018",2.6.6,2.3 and up,Role Playing,No description
Carros Rebaixados BR,4.3,89.0,"1,000,000+",Free,0.0,Everyone,"July 31, 2018",5.7.1,4.4 and up,Racing,No description
Br. Parking - Busy road Parking 3D 2018,4.5,30.0,"5,000+",Free,0.0,Everyone,"January 13, 2018",1.01,4.1 and up,Simulation,No description
Brick Breaker BR,5.0,19.0,5+,Free,0.0,Everyone,"July 23, 2018",1.0,4.1 and up,Arcade,No description
Vlogger Go Viral - Tuber Game,4.8,68.0,"10,000,000+",Free,0.0,Everyone,"July 27, 2018",2.9,4.1 and up,Strategy,No description
Black Commando | Special Ops | FPS Shooting,4.1,72.0,"100,000+",Free,0.0,Teen,"May 3, 2018",1.4,4.1 and up,Action,No description
True Skateboarding Ride Skateboard Game Freestyle,3.8,31.0,"1,000,000+",Free,0.0,Everyone 10+,"January 3, 2018",2.11.7,4.1 and up,Arcade,No description
Bullshit! (Free),2.4,4.1,"10,000+",Free,0.0,Teen,"August 26, 2016",1.1,4.1 and up,Card,No description
Bullshite!,2.8,13.0,"10,000+",Free,0.0,Teen,"April 10, 2016",1.0.1,4.1 and up,Card,No description
Block Strike,4.5,60.0,"10,000,000+",Free,0.0,Teen,"July 25, 2018",5.3.1,4.1 and up,Action,No description
Loved by King Bs,4.6,85.0,"100,000+",Free,0.0,Everyone,"June 15, 2018",1.21,4.0.3 and up,Simulation,No description
BombSquad Remote,4.1,1.3,"1,000,000+",Free,0.0,Everyone,"November 30, 2016",1.2.21,4.0 and up,Arcade,No description
Marked by King Bs,4.6,58.0,"500,000+",Free,0.0,Teen,"October 17, 2017",1.0.7,4.3 and up,Simulation,No description
Simulator Brawl Box for BS,3.9,6.4,"5,000+",Free,0.0,Everyone,"June 27, 2017",1.1,4.0.3 and up,Simulation,No description
B@dL!bs Lite,3.8,36.0,"1,000+",Free,0.0,Mature 17+,"April 5, 2016",6,4.0.3 and up,Word,No description
Beauty Rental Shop,4.6,93.0,"100,000+",Free,0.0,Everyone,"May 25, 2018",1.0.4,4.4 and up,Simulation,No description
Love Signal: D-Mate,4.3,72.0,"50,000+",Free,0.0,Everyone,"February 27, 2018",1.0.1,4.4 and up,Simulation,No description
Sleeping Delivery,4.6,67.0,"100,000+",Free,0.0,Teen,"May 18, 2018",2.0,4.4 and up,Simulation,No description
Black Survival,4.4,52.0,"1,000,000+",Free,0.0,Teen,"August 1, 2018",4.6.00,4.0.3 and up,Strategy,No description
kick the buddy,3.3,19.0,"10,000+",Free,0.0,Everyone,"July 19, 2018",1.0,3.0 and up,Arcade,No description
Bubble Witch 2 Saga,4.3,Not informed,"100,000,000+",Free,0.0,Everyone,"August 6, 2018",Varies with device,Varies with device,Casual,No description
Smashy Road: Arena,4.3,53.0,"5,000,000+",Free,0.0,Everyone 10+,"May 24, 2018",1.1.9,4.1 and up,Action,No description
Evolution: Battle for Utopia,4.2,27.0,"1,000,000+",Free,0.0,Teen,"May 4, 2018",3.5.2,4.0.3 and up,Strategy,No description
BW-Go,4.8,1.3,"1,000+",Paid,3.49,Everyone,"June 18, 2015",4.8.1,2.3 and up,Board,No description
BW-Go Free,4.6,1.3,"10,000+",Free,0.0,Everyone,"June 18, 2015",4.8.1,2.3 and up,Board,No description
BW-Joseki,4.7,1.8,"10,000+",Free,0.0,Everyone,"July 28, 2015",1.2.1,4.0.3 and up,Board,No description
BW-DGS plugin,4.5,0.67,"1,000+",Free,0.0,Everyone,"May 13, 2018",1.6.0,4.0 and up,Board,No description
BW-GnuGo,4.1,1.3,"5,000+",Free,0.0,Everyone,"June 2, 2013",2.0.0,2.2 and up,Board,No description
Hitman GO,4.6,23.0,"500,000+",Paid,0.99,Everyone 10+,"July 5, 2018",1.13.108869,2.3.3 and up,Puzzle,No description
Car Driving Simulator Citroen,3.8,44.0,"10,000+",Free,0.0,Everyone,"July 18, 2017",1.0,2.3 and up,Simulation,No description
Water Surfer Floating BMX Bicycle Rider Racing,4.4,38.0,"100,000+",Free,0.0,Everyone,"July 3, 2017",1.0,2.3 and up,Simulation,No description
RC Monster Truck - Offroad Driving Simulator,4.0,27.0,"5,000,000+",Free,0.0,Everyone,"June 16, 2018",1.4.3,4.1 and up,Racing,No description
Super Jabber Jump,4.3,23.0,"10,000,000+",Free,0.0,Everyone,"November 7, 2017",6.6.3106,2.3 and up,Arcade,No description
Commando Adventure Assassin,4.0,48.0,"5,000,000+",Free,0.0,Teen,"May 29, 2018",1.18,4.1 and up,Action,No description
City Builder 2016: County Mall,4.2,74.0,"1,000,000+",Free,0.0,Everyone,"June 4, 2018",1.0.23,4.0 and up,Simulation,No description
Train driving simulator,3.8,36.0,"10,000,000+",Free,0.0,Teen,"May 8, 2018",1.94,4.1 and up,Simulation,No description
Mini Motor Racing WRT,4.2,Not informed,"1,000,000+",Free,0.0,Everyone,"February 2, 2016",Varies with device,2.3.3 and up,Racing,No description
BMX Boy Bike Stunt Rider Game,3.8,25.0,"10,000+",Free,0.0,Everyone,"November 10, 2017",1.1,4.1 and up,Racing,No description
Best Friends Dress Up & Makeup,3.7,44.0,"500,000+",Free,0.0,Everyone,"September 9, 2015",1.0.3,4.0.3 and up,Casual,Pretend Play
World of Warriors: Duel,4.3,36.0,"500,000+",Free,0.0,Everyone 10+,"September 7, 2015",1.1.2,2.3 and up,Action,No description
Driving Zone,4.2,57.0,"1,000,000+",Free,0.0,Everyone,"June 6, 2018",1.53,4.1 and up,Racing,No description
Car Race by Fun Games For Free,4.3,47.0,"1,000,000+",Free,0.0,Everyone,"June 15, 2013",1.2,2.3 and up,Racing,No description
Color By Number - Sandbox Pixel Coloring Book,4.7,24.0,"1,000,000+",Free,0.0,Everyone,"August 3, 2018",1.3.6,4.4 and up,Casual,Creativity
No.Color – Color by Number,4.4,8.8,"5,000,000+",Free,0.0,Everyone,"July 26, 2018",1.0.7,4.1 and up,Casual,Creativity
Rized ‼️ Color By Number & Pixel Coloring Book,3.0,13.0,"100,000+",Free,0.0,Everyone,"June 13, 2018",1.1.7,4.3 and up,Casual,No description
Pixyfy: coloring by number coloring book,4.8,13.0,"500,000+",Free,0.0,Everyone,"August 5, 2018",18.08.05,4.0 and up,Puzzle,No description
Draw Color by Number - Sandbox Pixel Art,4.7,24.0,"1,000,000+",Free,0.0,Everyone,"August 2, 2018",1.2.3,4.4 and up,Casual,Creativity
SegPlay Mobile Paint by Number,3.7,43.0,"100,000+",Free,0.0,Everyone,"April 22, 2017",4.0.15,2.3 and up,Casual,No description
Paint By Number,3.5,4.6,"500,000+",Free,0.0,Everyone,"May 1, 2018",1.4.0,3.0 and up,Casual,No description
Painting By Numbers,4.1,26.0,"50,000+",Free,0.0,Everyone,"June 8, 2018",1.2.100,4.1 and up,Puzzle,Brain Games
"Pixel art pro-Sand box,paint by number,number draw",4.5,13.0,"100,000+",Free,0.0,Everyone,"July 6, 2018",2.5.111,4.0.3 and up,Casual,Brain Games
Voxel - 3D Color by Number & Pixel Coloring Book,4.7,53.0,"1,000,000+",Free,0.0,Everyone,"July 31, 2018",2.4.11,4.1 and up,Board,No description
BZ Zombie VR,4.4,98.0,"1,000+",Free,0.0,Mature 17+,"February 7, 2018",1.4,4.4 and up,Action,No description
BZ Fingers,4.6,3.2,50+,Free,0.0,Everyone,"July 5, 2017",1.3,4.0.3 and up,Arcade,No description
City Driving Jeep Mania: Parking Passion 2018,4.4,24.0,"10,000+",Free,0.0,Everyone,"June 14, 2018",1.0,4.0 and up,Simulation,No description
Sniper Gun Shot 3D: Impossible Missions,4.6,34.0,100+,Free,0.0,Mature 17+,"May 4, 2018",1.0,4.0 and up,Action,No description
Elite Commando Shooting War,4.5,45.0,100+,Free,0.0,Teen,"June 29, 2018",1.0,4.0 and up,Action,No description
Contractor City Construction - Heavy Logistics,4.2,35.0,"5,000+",Free,0.0,Everyone,"June 12, 2018",1.01,4.0 and up,Simulation,No description
Park Limousine: Realistic Limo Parking Simulator,4.8,25.0,"1,000+",Free,0.0,Everyone,"July 20, 2018",1.0,4.0 and up,Simulation,No description
Creative Destruction,4.4,80.0,"5,000,000+",Free,0.0,Teen,"August 2, 2018",1.0.6,4.0 and up,Action,No description
Sonic CD Classic,4.6,15.0,"1,000,000+",Free,0.0,Everyone,"February 14, 2018",1.0.2,4.2 and up,Action,No description
ARK: Survival Evolved,3.8,36.0,"500,000+",Free,0.0,Teen,"August 2, 2018",1.0.90,7.0 and up,Adventure,No description
PAC-MAN CE DX,4.5,36.0,"10,000+",Paid,4.99,Everyone,"April 23, 2018",1.1.0,4.0.3 and up,Arcade,No description
Theatre of the Absurd CE(Full),4.1,15.0,"10,000+",Paid,2.99,Everyone 10+,"May 21, 2013",1.0,2.0.1 and up,Casual,No description
Shiver: Moonlit Grove CE,4.1,23.0,"50,000+",Free,0.0,Everyone 10+,"March 14, 2016",1.1.0,2.3.3 and up,Casual,No description
Beast of Lycan Isle CE,4.1,20.0,"50,000+",Free,0.0,Everyone 10+,"January 23, 2014",1.0,2.3 and up,Casual,No description
Grim Tales: The Wishes CE,4.3,20.0,"100,000+",Free,0.0,Everyone 10+,"August 26, 2015",1.0.0,2.3.3 and up,Adventure,No description
Depths of Betrayal CE (Full),4.3,14.0,"1,000+",Paid,2.99,Everyone 10+,"August 19, 2013",1.0.0,2.3 and up,Casual,No description
CrossFire: Legends,4.3,29.0,"5,000,000+",Free,0.0,Teen,"July 25, 2018",1.0.9.10,4.0 and up,Action,No description
Special Forces Group 2,4.6,29.0,"10,000,000+",Free,0.0,Mature 17+,"July 29, 2018",3.3,4.0 and up,Action,No description
Motocross Motorbike Simulator Offroad,3.6,16.0,"5,000,000+",Free,0.0,Everyone,"June 14, 2017",Varies with device,2.3 and up,Racing,No description
Flo's CH Boss Timer,3.5,3.4,"1,000+",Free,0.0,Everyone,"March 27, 2017",1.2,4.0.3 and up,Role Playing,No description
DRAGON QUEST IV,4.7,16.0,"10,000+",Paid,14.99,Everyone,"February 28, 2017",1.0.5,2.3 and up,Role Playing,No description
Sermon on Proverbs CH Spurgeon,4.8,3.1,"10,000+",Free,0.0,Everyone,"July 29, 2016",1.0.0,4.0 and up,Trivia,No description
ci,3.0,5.8,"500,000+",Free,0.0,Everyone,"June 8, 2016",1.0.3,4.0 and up,Strategy,No description
Chicken Invaders 3,4.2,20.0,"5,000,000+",Free,0.0,Everyone,"May 4, 2018",1.28ggl,2.3.3 and up,Arcade,No description
Trovami se ci riesci,5.0,6.1,10+,Free,0.0,Everyone,"March 11, 2017",0.1,2.3 and up,Arcade,No description
SimCity BuildIt,4.5,100.0,"50,000,000+",Free,0.0,Everyone 10+,"June 19, 2018",1.23.3.75024,4.0 and up,Simulation,No description
South Park: Phone Destroyer™,4.4,91.0,"5,000,000+",Free,0.0,Mature 17+,"July 19, 2018",2.7.6,4.4 and up,Strategy,No description
CJ: Strike Back,4.3,6.9,"1,000,000+",Free,0.0,Everyone,"August 17, 2012",1.0.9,2.0.1 and up,Action,No description
The Grand Wars: San Andreas,3.9,96.0,"1,000,000+",Free,0.0,Teen,"December 8, 2017",Varies with device,2.3 and up,Action,No description
Grand Theft Auto: San Andreas,4.4,26.0,"1,000,000+",Paid,6.99,Mature 17+,"March 21, 2015",1.08,3.0 and up,Action,No description
The Grand Way,3.9,92.0,"500,000+",Free,0.0,Teen,"July 3, 2018",1.9,4.1 and up,Action,No description
San Andreas City : Auto Theft Car gangster,3.9,67.0,"100,000+",Free,0.0,Teen,"July 17, 2018",1.4,4.1 and up,Action,No description
Miami Crime Vice Town,4.1,99.0,"10,000,000+",Free,0.0,Mature 17+,"May 9, 2017",1.4,2.3 and up,Action,No description
CJ Poker Odds Calculator,4.1,0.11,"50,000+",Free,0.0,Everyone,"January 30, 2011",1.2,1.6 and up,Card,No description
Gangster City Auto Theft,4.3,67.0,"50,000+",Free,0.0,Everyone,"July 27, 2018",Varies with device,4.0.3 and up,Action,No description
China Town Auto Theft 2,4.1,67.0,"50,000+",Free,0.0,Everyone 10+,"May 23, 2018",Varies with device,4.0.3 and up,Action,No description
Grand Gangsters 3D,4.2,Not informed,"10,000,000+",Free,0.0,Teen,"July 18, 2018",Varies with device,Varies with device,Action,No description
Gang Wars of San Andreas,4.1,63.0,"1,000,000+",Free,0.0,Mature 17+,"February 15, 2018",Varies with device,4.0.3 and up,Action,No description
Sin City Hero : Crime Simulator of Vegas,4.1,78.0,"100,000+",Free,0.0,Teen,"September 8, 2017",1.1,4.0.3 and up,Action,No description
San Andreas Crime City Gangster 3D,4.2,Not informed,"1,000,000+",Free,0.0,Teen,"July 3, 2018",Varies with device,4.1 and up,Simulation,No description
Zombie Death Shooter,3.8,45.0,"1,000,000+",Free,0.0,Mature 17+,"August 8, 2015",1.3,2.3 and up,Arcade,No description
Project Grand Auto Town Sandbox Beta,3.7,28.0,"500,000+",Free,0.0,Mature 17+,"February 9, 2018",1.07,4.0 and up,Racing,No description
Can Knockdown,4.1,38.0,"10,000,000+",Free,0.0,Everyone,"July 11, 2018",1.38,4.1 and up,Casual,No description
F*ck This Game,4.6,6.3,100+,Paid,0.99,Teen,"July 18, 2015",1.0.0,2.3 and up,Action,No description
211:CK,5.0,38.0,10+,Paid,0.99,Teen,"April 11, 2018",1.3,4.1 and up,Arcade,No description
CONTRACT KILLER: ZOMBIES (NR),4.4,13.0,"5,000,000+",Free,0.0,Mature 17+,"July 1, 2013",3.1.0,2.1 and up,Action,No description
CKZ ORIGINS,4.5,10.0,"1,000,000+",Free,0.0,Mature 17+,"October 28, 2013",2.0.1,2.1 and up,Action,No description
211:CK Lite,4.3,39.0,10+,Free,0.0,Mature 17+,"September 22, 2017",1.0,4.1 and up,Action,No description
Tic Tac CK,5.0,13.0,10+,Free,0.0,Everyone,"July 3, 2018",1.0,4.0.3 and up,Puzzle,No description
INFAMY RO,4.1,3.7,"50,000+",Free,0.0,Everyone,"December 14, 2017",202,4.3 and up,Role Playing,No description
CONTRACT KILLER: ZOMBIES,4.4,13.0,"5,000,000+",Free,0.0,Teen,"December 1, 2011",1.1.0,2.1 and up,Action,No description
Can Knockdown 3,4.1,19.0,"10,000,000+",Free,0.0,Everyone,"August 26, 2015",1.31,4.0 and up,Arcade,No description
Clash of Kings : The King Of Fighters version,4.2,97.0,"50,000,000+",Free,0.0,Teen,"August 1, 2018",3.44.0,2.3.3 and up,Strategy,No description
Battle of Zombies: Clans War,4.1,58.0,"10,000,000+",Free,0.0,Teen,"November 15, 2017",1.0.175,2.3.3 and up,Strategy,No description
Teen Titans GO Figure!,4.5,28.0,"10,000+",Paid,3.99,Everyone 10+,"July 18, 2018",1.0.2,5.1 and up,Action,Action & Adventure
Teeny Titans - Teen Titans Go!,4.6,25.0,"100,000+",Paid,3.99,Everyone 10+,"July 18, 2018",1.2.1,4.1 and up,Strategy,Action & Adventure
Cartoon Network Match Land,4.7,38.0,"1,000,000+",Free,0.0,Everyone,"July 9, 2018",1.1.3,5.1 and up,Puzzle,No description
Card Wars Kingdom,4.3,28.0,"10,000,000+",Free,0.0,Everyone 10+,"January 17, 2017",1.0.10,4.0.3 and up,Card,Action & Adventure
Wrecker's Revenge - Gumball,4.3,55.0,"100,000+",Free,0.0,Everyone,"September 21, 2017",14.15,4.3 and up,Puzzle,Action & Adventure
Super Slime Blitz - Gumball,4.6,58.0,"500,000+",Free,0.0,Everyone,"May 24, 2018",1.2.0,4.0.3 and up,Arcade,Action & Adventure
Blamburger - Clarence,4.1,27.0,"1,000,000+",Free,0.0,Everyone 10+,"October 26, 2015",1.0.5,4.3 and up,Arcade,Action & Adventure
Free Fur All – We Bare Bears,4.2,25.0,"10,000,000+",Free,0.0,Everyone,"October 8, 2015",1.0.4,4.0 and up,Arcade,Action & Adventure
Sky Streaker - Gumball,4.3,31.0,"5,000,000+",Free,0.0,Everyone,"December 7, 2015",4.0,2.3 and up,Arcade,No description
Just A Regular Arcade,4.2,94.0,"1,000,000+",Free,0.0,Everyone,"January 8, 2016",3.1.0,2.3.3 and up,Action,No description
Soundtrack Attack,4.3,25.0,"5,000,000+",Free,0.0,Everyone,"July 26, 2016",1.0.4,4.1 and up,Action,Action & Adventure
Ben 10: Alien Experience,4.2,45.0,"10,000,000+",Free,0.0,Everyone 10+,"October 24, 2017",1.2.1,4.4 and up,Action,Action & Adventure
Dreamland Arcade - Steven Universe,4.0,24.0,"500,000+",Free,0.0,Everyone,"November 19, 2017",0.99,5.1 and up,Arcade,No description
Surely You Quest - Magiswords,4.6,83.0,"1,000,000+",Free,0.0,Everyone 10+,"June 20, 2017",1.0.2,4.1 and up,Role Playing,Action & Adventure
Adventure Time Run,4.3,88.0,"1,000,000+",Free,0.0,Everyone,"July 26, 2018",1.25.396,4.4 and up,Action,No description
Glitch Fixers: Powerpuff Girls,4.4,51.0,"5,000,000+",Free,0.0,Everyone,"December 1, 2016",1.0.0,4.1 and up,Arcade,No description
StirFry Stunts - We Bare Bears,4.5,63.0,"10,000,000+",Free,0.0,Everyone,"March 24, 2016",1.0.0,2.3.3 and up,Arcade,No description
Burrito Bash – We Bare Bears,4.3,21.0,"1,000,000+",Free,0.0,Everyone,"October 26, 2017",3.4,4.1 and up,Arcade,Action & Adventure
We Bare Bears Match3 Repairs,4.7,98.0,"1,000,000+",Free,0.0,Everyone,"July 25, 2018",1.1.7,4.1 and up,Puzzle,No description
Champions and Challengers - Adventure Time,4.6,27.0,"1,000,000+",Free,0.0,Everyone,"August 2, 2018",1.2.5,4.4 and up,Role Playing,No description
Ski Safari: Adventure Time,4.5,9.3,"100,000+",Paid,0.99,Everyone,"October 7, 2014",1.5.2,2.3 and up,Arcade,Action & Adventure
Block Survival Craft:The Story,4.1,87.0,"500,000+",Free,0.0,Everyone 10+,"October 12, 2017",0.2.7,4.0.3 and up,Puzzle,No description
"What's Up, Snoopy? - Peanuts",4.5,55.0,"100,000+",Free,0.0,Everyone,"August 22, 2017",1.0.1,5.1 and up,Arcade,Action & Adventure
Rockstars of Ooo,3.4,26.0,"10,000+",Paid,1.99,Everyone 10+,"August 11, 2015",1.0.2,2.3.3 and up,Arcade,Action & Adventure
Angelo Rules - Crazy day,3.9,62.0,"1,000,000+",Free,0.0,Everyone,"June 27, 2016",4.0.01,4.4 and up,Adventure,No description
Flipped Out! - Powerpuff Girls,4.4,22.0,"10,000+",Paid,2.99,Everyone 10+,"June 30, 2016",1.0.2,4.0 and up,Action,Action & Adventure
Adventure Time Game Wizard,4.1,40.0,"50,000+",Paid,4.99,Everyone,"July 16, 2015",1.2.0,4.1 and up,Adventure,No description
Best Park in the Universe,4.3,5.5,"10,000+",Paid,2.99,Everyone 10+,"September 10, 2014",1.2.1,4.0 and up,Action,No description
Formula Cartoon All Stars,3.9,18.0,"10,000+",Paid,2.99,Everyone,"June 25, 2015",4.1.2,2.3.3 and up,Racing,Action & Adventure
Multicraft Miner Exploration,4.0,74.0,"1,000,000+",Free,0.0,Everyone 10+,"December 22, 2017",0.6.49,4.1 and up,Adventure,No description
Little Lovely Dentist,4.2,16.0,"1,000,000+",Free,0.0,Everyone,"May 14, 2018",1.1.8,4.0 and up,Casual,No description
Tetrobot and Co.,4.5,18.0,"5,000+",Paid,2.99,Everyone,"April 20, 2015",1.1.2,2.3 and up,Puzzle,No description
Dots & Co: A Puzzle Adventure,4.5,85.0,"1,000,000+",Free,0.0,Everyone,"April 27, 2018",2.15.2,4.1 and up,Puzzle,No description
Them Bombs: co-op board game play with 2-4 friends,4.7,52.0,"100,000+",Free,0.0,Teen,"July 12, 2018",1.4.1,4.1 and up,Board,No description
Chinese Chess ( Xiangqi Free ),4.6,4.1,"50,000+",Free,0.0,Everyone,"April 18, 2017",1.1.1,2.3 and up,Board,No description
Chinese Chess / Co Tuong,4.2,20.0,"500,000+",Free,0.0,Everyone,"October 25, 2017",2.7.7,2.3 and up,Board,No description
